ChannelID,Links,Subscribers
@TheRamseyShow,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""5B72D1AC05FAFAEBFF15ECB320B9AF5D_element_542"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""5B72D1AC05FAFAEBFF15ECB320B9AF5D_element_543"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""5B72D1AC05FAFAEBFF15ECB320B9AF5D_element_544"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""5B72D1AC05FAFAEBFF15ECB320B9AF5D_element_545"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""5B72D1AC05FAFAEBFF15ECB320B9AF5D_element_546"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""5B72D1AC05FAFAEBFF15ECB320B9AF5D_element_547"")>]",2.79M
@CNBCMakeIt,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""6914DCCEACAFD94C935A157E6A25D97F_element_664"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""6914DCCEACAFD94C935A157E6A25D97F_element_665"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""6914DCCEACAFD94C935A157E6A25D97F_element_666"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""6914DCCEACAFD94C935A157E6A25D97F_element_667"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""6914DCCEACAFD94C935A157E6A25D97F_element_668"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""6914DCCEACAFD94C935A157E6A25D97F_element_669"")>]",1.3M
@ABCNews,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""878F9683A915D100B33957FFCE9A7F68_element_993"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""878F9683A915D100B33957FFCE9A7F68_element_994"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""878F9683A915D100B33957FFCE9A7F68_element_995"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""878F9683A915D100B33957FFCE9A7F68_element_996"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""878F9683A915D100B33957FFCE9A7F68_element_997"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""878F9683A915D100B33957FFCE9A7F68_element_998"")>]",15.3M
@ShelbyChurch,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""AA9462A354DF24297E2B2472ED791395_element_1033"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""AA9462A354DF24297E2B2472ED791395_element_1034"")>]",1.8M
@CNBC,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""D7C3EAF4A9EE5DBF26445F2D9C43E3A0_element_1098"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""D7C3EAF4A9EE5DBF26445F2D9C43E3A0_element_1099"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""D7C3EAF4A9EE5DBF26445F2D9C43E3A0_element_1100"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""D7C3EAF4A9EE5DBF26445F2D9C43E3A0_element_1101"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""D7C3EAF4A9EE5DBF26445F2D9C43E3A0_element_1102"")>]",3.2M
@TheYoungTurks,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""27B368912624288B2739C5DF3FC7F122_element_1136"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""27B368912624288B2739C5DF3FC7F122_element_1137"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""27B368912624288B2739C5DF3FC7F122_element_1138"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""27B368912624288B2739C5DF3FC7F122_element_1139"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""27B368912624288B2739C5DF3FC7F122_element_1140"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""27B368912624288B2739C5DF3FC7F122_element_1141"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""27B368912624288B2739C5DF3FC7F122_element_1142"")>]",5.62M
@HaraldBaldr,[],2.36M
@GrahamStephan,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""63840795924B10CF43BEDD7DB9111184_element_1252"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""63840795924B10CF43BEDD7DB9111184_element_1253"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""63840795924B10CF43BEDD7DB9111184_element_1254"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""63840795924B10CF43BEDD7DB9111184_element_1255"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""63840795924B10CF43BEDD7DB9111184_element_1256"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""63840795924B10CF43BEDD7DB9111184_element_1257"")>]",4.55M
@ABC7,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""7390B5E4F4D61D94F2485617583F5E01_element_1295"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""7390B5E4F4D61D94F2485617583F5E01_element_1296"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""7390B5E4F4D61D94F2485617583F5E01_element_1297"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""7390B5E4F4D61D94F2485617583F5E01_element_1298"")>]",1.58M
@biggerpockets,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DD0DA4AECEA160E3EA8F5019DF74F595_element_1788"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DD0DA4AECEA160E3EA8F5019DF74F595_element_1789"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DD0DA4AECEA160E3EA8F5019DF74F595_element_1790"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DD0DA4AECEA160E3EA8F5019DF74F595_element_1791"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DD0DA4AECEA160E3EA8F5019DF74F595_element_1792"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DD0DA4AECEA160E3EA8F5019DF74F595_element_1793"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DD0DA4AECEA160E3EA8F5019DF74F595_element_1794"")>]",1.14M
@CnbcIntl,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2772"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2773"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2774"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2775"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2776"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2777"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2778"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2779"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""DDC18BB5506DF5C02A7B994C08185CAF_element_2780"")>]",1.21M
@JordanWelch,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""2597088951EE6EE4F892B0EE1A18F72F_element_4648"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""2597088951EE6EE4F892B0EE1A18F72F_element_4649"")>]",1.23M
@AzadChaiwala,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""8188A146F48DB9FDDA57FDC135B7AEA6_element_4861"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""8188A146F48DB9FDDA57FDC135B7AEA6_element_4862"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""8188A146F48DB9FDDA57FDC135B7AEA6_element_4863"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""8188A146F48DB9FDDA57FDC135B7AEA6_element_4864"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""8188A146F48DB9FDDA57FDC135B7AEA6_element_4865"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""8188A146F48DB9FDDA57FDC135B7AEA6_element_4866"")>]",1.73M
@THATLifestyleNinja,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7199"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7200"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7201"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7202"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7203"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7204"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7205"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7206"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7207"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7208"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7209"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7210"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""59DD0022355DB6E72D23CA18D1C70284_element_7211"")>]",1.45M
@ImanGadzhi,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""376A55644D08D475F3F5F0CC9C2310C5_element_8596"")>]",3.62M
@dhruvrathee,"[<selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""C7CC5543B4D98AE11A757C8A14221B89_element_8630"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""C7CC5543B4D98AE11A757C8A14221B89_element_8631"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""C7CC5543B4D98AE11A757C8A14221B89_element_8632"")>, <selenium.webdriver.remote.webelement.WebElement (session=""1ede01b07cc909cfe958cddc14868d81"", element=""C7CC5543B4D98AE11A757C8A14221B89_element_8633"")>]",13.6M
